residuals = [-6.04235 ; 15.8868, -23.8303, 372.146, 0, 2.38555, 0.152758, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.0640346, 0, 1, -1.29436, -0.0254014, 28.6603, 16.4357, -0.000498494]
residuals = [0.186968 ; 1.03223, -2.06445, -248.098, 2.38555, 0, 0.00992526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.00416057, 0, 1, 0, -0.0176461, -7.26622e-05, 0.548826, 4.27694, -2.99204e-07]
residuals = [-5.91582 ; 15.8868, -31.7737, 496.195, 0, 2.38555, 0.152758, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.0640346, 0, 1, -0.271589, -0.00111833, 12.6882, 0.548826, -4.60501e-06]
residuals = [-2.48436 ; -28.8476, 72.119, -248.098, 2.38555, 0, -0.277381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.116275, 0, 1, 0, 2.11027, 0.0371838, -15.338, 46, 0.000655191]
residuals = [-5.90563 ; 15.8868, -39.7171, 620.244, 0, 2.38555, 0.152758, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.0640346, 0, 1, -1.16216, -0.0204777, 26.5959, -15.338, -0.000360825]
residuals = [-3.9945 ; -58.7274, 176.182, -248.098, 2.38555, 0, -0.564687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.236711, 0, 1, 0, 14.661, 0.881605, -31.2249, 177.363, 0.0530131]
residuals = [-6.81115 ; 15.8868, -47.6605, 744.293, 0, 2.38555, 0.152758, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.0640346, 0, 1, -3.96608, -0.23849, 70.3834, -31.2249, -0.014341]
residuals = [-6.70398 ; -88.6073, 310.125, -248.098, 2.38555, 0, -0.851993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.357147, 0, 1, 0, 48.4305, 6.37607, -47.1117, 398.365, 0.839437]
residuals = [-6.57067 ; 15.8868, -55.604, 868.342, 0, 2.38555, 0.152758, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.0640346, 0, 1, -8.68334, -1.1432, 144.051, -47.1117, -0.150507]
residuals = [-9.349 ; -118.487, 473.948, -248.098, 2.38555, 0, -1.1393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.477582, 0, 1, 0, 114.214, 26.5189, -62.9985, 709.006, 6.1573]
residuals = [-7.91478 ; 15.8868, -63.5474, 992.391, 0, 2.38555, 0.152758, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.0640346, 0, 1, -15.3139, -3.55568, 247.598, -62.9985, -0.825576]
